id,lat,lon
_MF6J1HdT,32.87402654098252,32.25002989477041
_MzcToopx,33.102970446570446,32.46661750637755
_MgIeEfts,34.41947937011719,33.74181630660077
_bJVLVAhA,34.554656982421875,33.77090765505421
_yxHW560M,34.75273520259534,33.72453689575195
_2TwPX3IK,34.87288652840307,33.80842208862305
_lYVzPlRM,34.92898197497352,33.79537582397461
_Wjt97FHw,34.93331133309057,33.69678497314453
_TDyhe7PE,34.81502209679555,33.55928421020508
_EhaHf4K2,34.758819580078125,33.6038706253986
_ZpBc4J45,34.614056086136124,33.537254333496094
_Z74cvhxb,32.538482666015625,31.927862548828127
_4sUB0mpM,32.39067465572034,31.82941047512756
_bs3fYMZv,33.6370177188162,14.374980926513672
_0bKYrXD8,33.718204821570446,13.982391357421877
_2kVPBh5d,33.810150146484375,14.089068977200256
_ybB01Ae5,34.3398634053893,14.801788330078123
_KwLOjVJW,34.06897593352754,24.2926025390625
_2QGEudXW,33.90660172801907,24.54998016357422
_ATu9zlaf,33.80534362792969,24.6588134765625
_KzANvTnA,34.79882191803495,27.681713104248047
_NQaSjYGd,34.9095696918035,27.61739730834961
_wjCG1AIG,50.96818309719279,8.138351440429688
_LSpNE9ti,50.93834311275159,7.149429321289063
_ikYRFj4B,50.75363159179688,8.18050900021115
_JfuMrgv3,34.613433837890625,26.243423150510203
_l1f66IZA,34.713445113877114,26.149463653564453
_TjuE1LQU,44.8435844809322,9.092861268578506
_j9uCnoU0,45.444671630859375,8.77408708844866
_20Hlg4Su,45.54913330078125,8.745251167111281
_Yu4raW39,45.68426513671875,8.895241341939787
_TEyfOv5V,34.77484130859375,27.650626046316965
_ClFFLsDO,56.4481201171875,30.468417080965907
_28l2SxDA,56.47526550292969,30.258428400213067
_7ySXVK9D,34.819910081766416,28.09118270874023
_IzSghfH7,34.152583752648304,30.90631484985352
_CipewTbH,40.851823192531775,29.547230113636363
_iPeED0so,41.617514400158896,28.79452727561773
_VsV9eWAR,41.43429565429688,28.72437910600141
_aD3ri4qv,41.20738220214844,28.72747802734375
_g851L6MA,41.1514892578125,28.6925048828125
_x81Yn9D2,41.01219177246094,28.6746826171875
_owbAsw2j,40.49835205078125,28.80309365012429
_0cwaU1aY,40.296222234176376,29.022195989435367
_Je9O7bPV,39.84580993652344,29.411773681640625
_badik8xm,33.44865417480469,30.93546752929688
_XWPB1Gtd,33.80149841308594,-6.172074298469397
_hHT5964z,34.59814453125,25.29545998086735
_hFqM5V62,33.86329650878906,25.38929219148597
_iaxS938l,33.93049621582031,25.27141337492028
_qLz9AEqp,40.930023193359375,6.64324951171875
_LGYEsh0g,40.44020830574682,-3.502266623757123
_GDXzBchJ,40.59718245166843,-3.533852317116498
_LA3WZUny,40.64927673339844,-3.47540283203125
_4NBBlO8e,40.75543212890625,-3.32415771484375
_Tls89CzA,41.03581237792969,-2.2999267578125
_8BZ08mpa,41.21320821471133,-1.830222389914752
_tNzD2rrO,41.32595773470604,-0.6703532825816865
