flight_id,real_waypoints,pass_times,speeds,alts,real_full_waypoints,full_pass_times,full_speeds,full_alts
000042HMJ225,INKIM LJLJ LMML MALTI,1680349300 1680364679 1680382679 1680382679,0.2321 0.1399 0.0000 0.0000,11521 1570 114 114,INKIM LJLJ LMML MALTI,1680349300 1680364679 1680382679 1680382679,0.2321 0.1399 0.0000 0.0000,11521 1570 114 114
010092MSR741,LAKTO BIRES_29 LCLK,1680362648 1680362759 1680364319,0.2708 0.2365 0.0000,9312 9312 434,LAKTO _MF6J1HdT BIRES_29 _MgIeEfts _bJVLVAhA _yxHW560M _2TwPX3IK _lYVzPlRM _Wjt97FHw LCLK,1680362648 1680362639 1680362759 1680363659 1680363779 1680363959 1680364079 1680364139 1680364319 1680364319,0.2708 0.2708 0.2365 0.1452 0.1359 0.1445 0.1058 0.0925 0.0000 0.0000,9312 9312 9312 2499 1608 937 663 488 434 434
010092MSR742,LCA SOBOS_91 SISIM,1680368182 1680368399 1680369839,0.1243 0.1648 0.0000,1265 3947 10257,LCA _TDyhe7PE _EhaHf4K2 SOBOS_91 _Z74cvhxb _4sUB0mpM SISIM,1680368182 1680368219 1680368279 1680368399 1680369719 1680369839 1680369839,0.1243 0.1243 0.1338 0.1648 0.1571 0.0000 0.0000,1265 1265 2019 3947 10249 10257 10257
010092MSR831,TANSA_98 METRU METRU_30 TOTTI LOTIN REXUN,1680335357 1680335219 1680335279 1680339179 1680339719 1680340199,0.2004 0.2004 0.2197 0.2102 0.2241 0.0000,11133 11133 11133 11217 10150 5197,TANSA_98 METRU METRU_30 TOTTI LOTIN _bs3fYMZv REXUN,1680335357 1680335219 1680335279 1680339179 1680339719 1680340199 1680340199,0.2004 0.2004 0.2197 0.2102 0.2241 0.0000 0.0000,11133 11133 11133 11217 10150 5197 5197
010092MSR832,ODGAX LUMED METRU_30,1680346619 1680347039 1680350699,0.2367 0.2639 0.0000,6568 8771 10851,ODGAX _0bKYrXD8 _2kVPBh5d LUMED _KwLOjVJW _2QGEudXW _ATu9zlaf METRU_30,1680346619 1680346619 1680346679 1680347039 1680350519 1680350639 1680350699 1680350699,0.2367 0.2367 0.2409 0.2639 0.2354 0.2515 0.0000 0.0000,6568 6568 6949 8771 10843 10866 10851 10851
0100A3MSR560,GUDIS NIPIS BABIT PILAM TANJO EDDK,1680318766 1680318839 1680325259 1680328619 1680329939 1680330119,0.2274 0.2258 0.2354 0.2353 0.0821 0.0630,12306 12306 12047 9571 968 389,GUDIS _KzANvTnA NIPIS BABIT PILAM _wjCG1AIG TANJO EDDK,1680318766 1680318779 1680318839 1680325259 1680328619 1680329519 1680329939 1680330119,0.2274 0.2274 0.2258 0.2354 0.2353 0.1605 0.0821 0.0630,12306 12306 12306 12047 9571 2926 968 389
0100A3MSR561,EDDK TANJO EDGB KAS_93 NIPIS GUDIS,1680340275 1680340439 1680340739 1680346739 1680349979 1680349979,0.0921 0.1782 0.2300 0.2565 0.0000 0.0000,785 3033 6622 11941 12047 12047,EDDK _LSpNE9ti TANJO EDGB KAS_93 NIPIS GUDIS,1680340275 1680340319 1680340439 1680340739 1680346739 1680349979 1680349979,0.0921 0.1408 0.1782 0.2300 0.2565 0.0000 0.0000,785 1326 3033 6622 11941 12047 12047
0100DDMSR703,TANSA_98 XANIS_29 LIMC,1680342064 1680344819 1680352199,0.2342 0.2070 0.0000,11727 11689 411,TANSA_98 _JfuMrgv3 _l1f66IZA XANIS_29 _TjuE1LQU _j9uCnoU0 _20Hlg4Su LIMC,1680342064 1680342119 1680342179 1680344819 1680351479 1680352019 1680352139 1680352199,0.2342 0.2342 0.2060 0.2070 0.1554 0.1039 0.0813 0.0000,11727 11727 11727 11689 4801 1265 671 411
0100DDMSR704,MMP LILN LABIN GUDIS,1680357736 1680357839 1680359279 1680365879,0.0953 0.1467 0.2583 0.0000,815 2080 10516 12024,MMP LILN LABIN _TEyfOv5V GUDIS,1680357736 1680357839 1680359279 1680365879 1680365879,0.0953 0.1467 0.2583 0.0000 0.0000,815 2080 10516 12024 12024
0100DDMSR728,WKL OPOKA LIZUP LZSK NIKTI GUDIS,1680313126 1680313919 1680315719 1680318179 1680322079 1680325439,0.2208 0.2205 0.2262 0.2166 0.2364 0.0000,10615 10607 10645 10721 11293 11392,WKL _ClFFLsDO _28l2SxDA OPOKA LIZUP LZSK NIKTI _7ySXVK9D GUDIS,1680313126 1680313139 1680313199 1680313919 1680315719 1680318179 1680322079 1680325439 1680325439,0.2208 0.2208 0.2202 0.2205 0.2262 0.2166 0.2364 0.0000 0.0000,10615 10615 10615 10607 10645 10721 11293 11392 11392
0100DEMSR542,USEBE KOMEZ EDASA LTFJ LTFM,1680360420 1680360479 1680363239 1680364199 1680365159,0.2264 0.2165 0.2120 0.1378 0.0000,11750 11742 11179 3536 945,USEBE _IzSghfH7 KOMEZ EDASA _CipewTbH LTFJ _iPeED0so _VsV9eWAR LTFM,1680360420 1680360419 1680360479 1680363239 1680364079 1680364199 1680364919 1680365159 1680365159,0.2264 0.2264 0.2165 0.2120 0.1365 0.1378 0.0883 0.0000 0.0000,11750 11750 11742 11179 3917 3536 1288 945 945
0100DEMSR543,FATIH RATVU AYT RASDA,1680371918 1680372779 1680374219 1680376019,0.1145 0.2463 0.2330 0.0000,1196 9205 11400 10866,FATIH _aD3ri4qv _g851L6MA _x81Yn9D2 _owbAsw2j _0cwaU1aY RATVU AYT _badik8xm RASDA,1680371918 1680371939 1680371999 1680372119 1680372419 1680372539 1680372779 1680374219 1680376019 1680376019,0.1145 0.1145 0.1222 0.1884 0.2428 0.2398 0.2463 0.2330 0.0000 0.0000,1196 1196 2134 3360 6523 7605 9205 11400 10866 10866
0100DFMSR862,SADIC ORSUP CHE AMAXI_85,1680308705 1680310499 1680312179 1680320459,0.2382 0.2406 0.2584 0.0000,7894 11095 11011 11422,SADIC ORSUP CHE _hHT5964z AMAXI_85,1680308705 1680310499 1680312179 1680320459 1680320459,0.2382 0.2406 0.2584 0.0000 0.0000,7894 11095 11011 11422 11422
0100F6AMV6183,TANSA_98 METRU BCN LEMD,1680337372 1680337259 1680348479 1680351659,0.2200 0.1855 0.1836 0.0000,11125 11125 11293 610,TANSA_98 _hFqM5V62 METRU _qLz9AEqp BCN _LGYEsh0g LEMD,1680337372 1680337199 1680337259 1680346499 1680348479 1680351599 1680351659,0.2200 0.2200 0.1855 0.1883 0.1836 0.0842 0.0000,11125 11125 11125 11582 11293 869 610
0100F6AMV6184,LETO PONEN BCN OSPOK SUTAD_80 SALUN METRU_30,1680358134 1680359219 1680360119 1680360899 1680362159 1680368159 1680368219,0.1268 0.2734 0.2748 0.2684 0.0792 0.2513 0.0000,1707 10569 10935 10950 11278 11453 11453,LETO _GDXzBchJ _LA3WZUny _4NBBlO8e _Tls89CzA _8BZ08mpa PONEN BCN OSPOK SUTAD_80 SALUN _PKxYHWoO METRU_30,1680358134 1680358079 1680358139 1680358259 1680358679 1680358859 1680359219 1680360119 1680360899 1680362159 1680368159 1680368219 1680368219,0.1268 0.1268 0.1418 0.1857 0.2388 0.2733 0.2734 0.2748 0.2684 0.0792 0.2513 0.0000 0.0000,1707 1707 2217 3757 7468 8565 10569 10935 10950 11278 11453 11453 11453
010109MSR861,METRU_30 POBUB NEVEK,1680375187 1680389459 1680389459,0.1643 0.0000 0.0000,10569 10119 10119,METRU_30 _rGAHevT7 POBUB NEVEK,1680375187 1680385919 1680389459 1680389459,0.1643 0.2088 0.0000 0.0000,10569 10592 10119 10119
01010AMSR729,LATMO_08 NIPIS BAVMA EVULA NORNO MOLFU IGORO IPIOS UUDD,1680341360 1680341279 1680347639 1680348479 1680350939 1680351959 1680352859 1680356279 1680356519,0.2090 0.2121 0.2251 0.2243 0.2366 0.2398 0.2393 0.0779 0.0000,10523 10523 10767 11041 10965 10950 10935 914 434,LATMO_08 _58kcfC7L NIPIS BAVMA EVULA NORNO MOLFU IGORO _QhpeJomd _mpk70cUh _XJkUiuRR IPIOS _mUq66M8C _b0rk4iUN UUDD,1680341360 1680341219 1680341279 1680347639 1680348479 1680350939 1680351959 1680352859 1680355139 1680355619 1680355979 1680356279 1680356399 1680356519 1680356519,0.2090 0.2090 0.2121 0.2251 0.2243 0.2366 0.2398 0.2393 0.1711 0.0934 0.1188 0.0779 0.0782 0.0000 0.0000,10523 10523 10523 10767 11041 10965 10950 10935 5639 3010 1951 914 869 434 434
01010AMSR730,UPERI UMUDU OPOKA NORNO_64 DUFES PERIM,1680362452 1680362639 1680365639 1680367859 1680370199 1680377279,0.1094 0.1425 0.2151 0.2262 0.2194 0.0000,610 2659 10630 10668 10904 12040,UPERI _ERYD4kVb UMUDU OPOKA NORNO_64 DUFES _w4uvoDft _8Dvd2JoB PERIM,1680362452 1680362519 1680362639 1680365639 1680367859 1680370199 1680375119 1680377279 1680377279,0.1094 0.1022 0.1425 0.2151 0.2262 0.2194 0.2396 0.0000 0.0000,610 1212 2659 10630 10668 10904 11354 12040 12040
01010BMSR727,LATMO_08 NIPIS ATFIR HATIP BOKSU IGORO SONUN,1680375185 1680375119 1680378779 1680382379 1680385019 1680386699 1680387059,0.2206 0.2198 0.2245 0.2397 0.2413 0.2418 0.0000,10554 10554 10371 10752 10676 10965 10973,LATMO_08 _9UUSMyFW NIPIS ATFIR _ZoR6boyP HATIP BOKSU _k1af16lu IGORO _14oaf8Gy SONUN,1680375185 1680375059 1680375119 1680378779 1680382259 1680382379 1680385019 1680386099 1680386699 1680387059 1680387059,0.2206 0.2206 0.2198 0.2245 0.2379 0.2397 0.2413 0.2437 0.2418 0.0000 0.0000,10554 10554 10554 10371 10752 10752 10676 10965 10965 10973 10973
01010BMSR845,TANSA_98 METRU DAAG,1680337067 1680337019 1680347339,0.2154 0.2092 0.0000,11171 11171 686,TANSA_98 _2lzmSCw6 METRU _nkJkV52E _i3BIQWWX _bWByfFtO _iOKKNWXv DAAG,1680337067 1680336899 1680337019 1680346139 1680346799 1680347099 1680347339 1680347339,0.2154 0.2154 0.2092 0.2012 0.1578 0.1329 0.0000 0.0000,11171 11171 11171 11765 4145 1646 686 686
01010BMSR846,ALR ABSET AMAXI_85,1680352488 1680352679 1680360479,0.0981 0.1664 0.0000,1113 2987 11491,ALR _Zgv9r9MB _JZ4PPMAM ABSET _FIeVKepU AMAXI_85,1680352488 1680352499 1680352559 1680352679 1680360479 1680360479,0.0981 0.0981 0.1230 0.1664 0.0000 0.0000,1113 1113 1570 2987 11491 11491
010117NIA191,RASDA SIVKU LTFJ,1680345330 1680348359 1680349859,0.1588 0.2142 0.0000,11742 11156 564,RASDA _I9GJKaYY _QuTkYd6Y SIVKU _bSQaumwp _JJGWYC0z _0KZIFJZd _Ase9XkkJ _nBRdpdUF _xfx3Zoye _j0e4hOuD LTFJ,1680345330 1680345359 1680345419 1680348359 1680349019 1680349139 1680349259 1680349379 1680349499 1680349679 1680349859 1680349859,0.1588 0.1588 0.2468 0.2142 0.2098 0.1979 0.1764 0.1457 0.1377 0.0936 0.0000 0.0000,11742 11742 11735 11156 7224 5913 4717 3840 2408 1135 564 564
010117NIA192,LTFJ BRY_99 TOMBI USEBE USEBE_94,1680355258 1680355799 1680357779 1680358739 1680358739,0.1211 0.2244 0.2456 0.0000 0.0000,648 6668 10798 10843 10843,LTFJ _d2O1NT9T _pBkfplTq BRY_99 TOMBI USEBE USEBE_94,1680355258 1680355319 1680355559 1680355799 1680357779 1680358739 1680358739,0.1211 0.1348 0.2000 0.2244 0.2456 0.0000 0.0000,648 1265 3985 6668 10798 10843 10843
01012BMSR785,NIPIS ABLOM_27 PEROX_60 GASKA ASKIK BOMBI_73,1680343972 1680351239 1680353099 1680353699 1680354839 1680354899,0.2264 0.2404 0.2389 0.1871 0.0369 0.0000,10523 11354 9929 5951 290 168,NIPIS ABLOM_27 PEROX_60 GASKA ASKIK BOMBI_73,1680343972 1680351239 1680353099 1680353699 1680354839 1680354899,0.2264 0.2404 0.2389 0.1871 0.0369 0.0000,10523 11354 9929 5951 290 168
01012BMSR786,BOMBI_73 MOVUM OLKAS GUDIS,1680365942 1680365939 1680366179 1680374879,0.0929 0.0929 0.1840 0.0000,564 564 3475 10843,BOMBI_73 MOVUM OLKAS _6WeH9c98 GUDIS,1680365942 1680365939 1680366179 1680374879 1680374879,0.0929 0.0929 0.1840 0.0000 0.0000,564 564 3475 10843 10843
01012BMSR996,DINUX NIBLO_26 METRU_30,1680309119 1680309239 1680313679,0.2982 0.2636 0.0000,11537 11537 11438,DINUX _b7AL1wFI NIBLO_26 _g51K3ds8 _MFEMIzvE _RaHON3Kp METRU_30,1680309119 1680309119 1680309239 1680313439 1680313619 1680313679 1680313679,0.2982 0.2982 0.2636 0.2644 0.2213 0.0000 0.0000,11537 11537 11537 11438 11438 11438 11438
01013CMSR777,NIPIS LAPSO ELGEB_86 LOGAN ODUKU EGLC EGLL,1680340091 1680340139 1680345299 1680352139 1680352619 1680352799 1680353159,0.2356 0.2271 0.2389 0.2295 0.1356 0.1033 0.0000,10538 10538 10843 7292 2697 1867 122,NIPIS _dWJNQZ8l LAPSO ELGEB_86 LOGAN ODUKU EGLC _qGBpiAou EGLL,1680340091 1680340079 1680340139 1680345299 1680352139 1680352619 1680352799 1680353099 1680353159,0.2356 0.2356 0.2271 0.2389 0.2295 0.1356 0.1033 0.0741 0.0000,10538 10538 10538 10843 7292 2697 1867 366 122
01013CMSR778,EGLL OCK EGKR EMKAD AGBUL GUDIS,1680362210 1680362399 1680362519 1680362819 1680364559 1680373619,0.0853 0.1660 0.2044 0.2370 0.2524 0.0000,297 2850 4290 8153 10432 11453,EGLL _igSQRHXS OCK EGKR EMKAD AGBUL _h4S6HmA5 GUDIS,1680362210 1680362279 1680362399 1680362519 1680362819 1680364559 1680373619 1680373619,0.0853 0.1276 0.1660 0.2044 0.2370 0.2524 0.0000 0.0000,297 1059 2850 4290 8153 10432 11453 11453
010144MSR747,NAVUS ALIKI AKORO LGAV,1680344789 1680344879 1680345599 1680346439,0.2124 0.2110 0.2015 0.0000,10554 10554 6576 602,NAVUS _7Tr2EV6F ALIKI AKORO _tdNetcMn _IrTnNYn8 _ptaVesDI LGAV,1680344789 1680344819 1680344879 1680345599 1680346019 1680346319 1680346439 1680346439,0.2124 0.2124 0.2110 0.2015 0.0960 0.0887 0.0000 0.0000,10554 10554 10554 6576 2149 831 602 602
010144MSR748,LGAV KEA LAPSO NIPIS,1680356988 1680357059 1680358559 1680358559,0.2163 0.2243 0.0000 0.0000,4923 5745 10843 10843,LGAV _fexiNxAy KEA LAPSO NIPIS,1680356988 1680356999 1680357059 1680358559 1680358559,0.2163 0.2163 0.2243 0.0000 0.0000,4923 4923 5745 10843 10843
010145MSR705,XAVIS GOSEX LOMED EVANO LIMC,1680351668 1680351659 1680359339 1680360659 1680360959,0.2063 0.2084 0.1987 0.1028 0.0000,11758 11750 10561 1715 320,XAVIS _kM726fH4 GOSEX LOMED _BKJnyxjN _RVIfSdUX EVANO _lQTInq4v LIMC,1680351668 1680351599 1680351659 1680359339 1680359939 1680360119 1680360659 1680360779 1680360959,0.2063 0.2063 0.2084 0.1987 0.2057 0.2000 0.1028 0.0909 0.0000,11758 11758 11750 10561 8176 6972 1715 1120 320
010145MSR706,MMP LILN TUVDE PINDO NIPIS GUDIS,1680365656 1680365819 1680366599 1680370259 1680373679 1680373679,0.0916 0.1741 0.2492 0.2587 0.0000 0.0000,770 2195 9708 11300 11438 11438,MMP _YDLK2SDo LILN TUVDE PINDO NIPIS GUDIS,1680365656 1680365699 1680365819 1680366599 1680370259 1680373679 1680373679,0.0916 0.1052 0.1741 0.2492 0.2587 0.0000 0.0000,770 1394 2195 9708 11300 11438 11438
010153MSR995,LIAKI KPC GUNPA,1680313441 1680313559 1680327779,0.2290 0.2266 0.0000,9266 9266 9495,LIAKI _oK6oC4R9 KPC _hRdwVgkE GUNPA,1680313441 1680313499 1680313559 1680327779 1680327779,0.2290 0.2290 0.2266 0.0000 0.0000,9266 9266 9266 9495 9495
010153MSR996,PITAX AMAXI_85,1680388849 1680401099,0.2710 0.0000,10927 11422,PITAX _evbVvWEP _bk9r73RZ _kXcWjagj _7eljIinJ AMAXI_85,1680388849 1680388859 1680389099 1680394799 1680401099 1680401099,0.2710 0.2710 0.2921 0.2853 0.0000 0.0000,10927 10927 10927 11316 11422 11422
010154MSR954,ERGEP MUT LTAI MIVOR,1680325978 1680326159 1680327119 1680328799,0.2483 0.2236 0.2680 0.0000,10538 10714 10744 10798,ERGEP _qdOZETD0 _3T7QHIb9 MUT LTAI _q6n5gBdV MIVOR,1680325978 1680325979 1680326039 1680326159 1680327119 1680328799 1680328799,0.2483 0.2483 0.2427 0.2236 0.2680 0.0000 0.0000,10538 10538 10706 10714 10744 10798 10798
01015DMSR753,TANSA_98 METRU VILLA PDT LEMD,1680340304 1680340259 1680352919 1680353519 1680353819,0.2217 0.2227 0.1432 0.1001 0.0000,11781 11781 5159 1913 640,TANSA_98 _ziDbFgXb METRU _dTKKQ6nC VILLA PDT LEMD,1680340304 1680340139 1680340259 1680348659 1680352919 1680353519 1680353819,0.2217 0.2217 0.2227 0.1980 0.1432 0.1001 0.0000,11781 11781 11781 12398 5159 1913 640
01015DMSR754,LEMD RBO LUXUR DINUX TANSA_98,1680361890 1680362039 1680364439 1680367259 1680371999,0.1233 0.1628 0.2754 0.2764 0.0000,1859 4313 12047 12062 12116,LEMD _vM28vXC5 _PnVczsc7 RBO LUXUR DINUX _ZrtlZuBu _clSyOCen _D6EC53aj TANSA_98,1680361890 1680361859 1680361919 1680362039 1680364439 1680367259 1680371579 1680371759 1680371999 1680371999,0.1233 0.1233 0.1299 0.1628 0.2754 0.2764 0.2638 0.2625 0.0000 0.0000,1859 1859 2644 4313 12047 12062 12093 12101 12116 12116
010160MSR711,MELDO LAKTO VELOX,1680364139 1680364199 1680365219,0.2617 0.2348 0.0000,10569 10554 8077,MELDO _QIT7hFZc LAKTO VELOX,1680364139 1680364139 1680364199 1680365219,0.2617 0.2617 0.2348 0.0000,10569 10569 10554 8077
010160MSR712,KAD BIRES_29,1680370236 1680371279,0.2647 0.0000,4465 9655,KAD _womuMLA7 _8NvsOa7d _u15VFx6A BIRES_29,1680370236 1680370259 1680370319 1680371279 1680371279,0.2647 0.2647 0.2066 0.0000 0.0000,4465 4465 5349 9655 9655
010160MSR829,TANSA_98 METRU_30 SAMAZ_14,1680340108 1680340019 1680340499,0.2063 0.2042 0.0000,11110 11163 11179,TANSA_98 _r1I4NzvB METRU_30 _0l0rvcuC SAMAZ_14,1680340108 1680339959 1680340019 1680340499 1680340499,0.2063 0.2063 0.2042 0.0000 0.0000,11110 11110 11163 11179 11179
010163MSR791,EPALO_51 BAVES OST,1680344040 1680344099 1680351359,0.2047 0.2060 0.0000,11750 11742 175,EPALO_51 _CAmrl0Pf BAVES _1KDroSI5 _pClgEDV5 _Msrbc744 _JwN2qkBu _9bYKDTug _fR5HIXPL _gRwX5XAg OST,1680344040 1680344039 1680344099 1680350159 1680350339 1680350819 1680350999 1680351119 1680351239 1680351299 1680351359,0.2047 0.2047 0.2060 0.1672 0.1439 0.1235 0.1262 0.1205 0.0925 0.0629 0.0000,11750 11750 11742 7155 5532 2217 1577 1097 701 366 175
010163MSR792,LIRF RIFFI_47 LAPSO_38,1680356931 1680357419 1680363119,0.0864 0.2191 0.0000,328 5608 12040,LIRF RIFFI_47 _1KJ8BM10 LAPSO_38,1680356931 1680357419 1680363119 1680363119,0.0864 0.2191 0.0000 0.0000,328 5608 12040 12040
0101A7NIA7155,METRU LASUR LFKP LFHC,1680341018 1680351239 1680351779 1680352019,0.2194 0.1955 0.1377 0.0000,10569 5753 2957 1524,METRU _9njXe88M _zEQBliiC LASUR LFKP _Kzmdnpx9 LFHC,1680341018 1680340979 1680341219 1680351239 1680351779 1680352019 1680352019,0.2194 0.2194 0.1980 0.1955 0.1377 0.0000 0.0000,10569 10569 11156 5753 2957 1524 1524
0101A7NIA7156,LFLL LFHJ OGLOT BOBRI PERIG_40 AMPES METRU_30,1680357588 1680357719 1680360599 1680368099 1680369239 1680372059 1680378599,0.1202 0.1303 0.0900 0.1809 0.2558 0.2590 0.0000,1265 2164 1326 3391 9975 10630 11506,LFLL _PJMg6ts6 _Tgmdn5Z1 LFHJ _0NxZoVI2 _eT23XKP2 OGLOT _1XgE46v9 BOBRI PERIG_40 AMPES _3JvqBt5c _UIXAqPII METRU_30,1680357588 1680357539 1680357599 1680357719 1680360059 1680360359 1680360599 1680367979 1680368099 1680369239 1680372059 1680378479 1680378599 1680378599,0.1202 0.1202 0.1283 0.1303 0.1924 0.1338 0.0900 0.1515 0.1809 0.2558 0.2590 0.2551 0.0000 0.0000,1265 1265 1806 2164 6104 2743 1326 2149 3391 9975 10630 11491 11506 11506
0101B2NIA7317,METRU_30 PECES_18 VILLA PDT LEMD,1680311545 1680321419 1680324539 1680325139 1680325439,0.2003 0.1867 0.1458 0.1012 0.0000,10531 11811 5448 1974 655,METRU_30 _QDFE2PXg _VNoytc3m PECES_18 VILLA PDT LEMD,1680311545 1680311519 1680311579 1680321419 1680324539 1680325139 1680325439,0.2003 0.2003 0.2213 0.1867 0.1458 0.1012 0.0000,10531 10531 10813 11811 5448 1974 655
0101B2NIA7318,LETO PALIO RETBA OLLEK_79 SALUN,1680332578 1680332999 1680333779 1680339179 1680342959,0.1182 0.2228 0.2687 0.2571 0.0000,1730 5540 9632 10317 10897,LETO _diM4EwrN _DkxnDQk2 _JpPiXBn7 _WPZlE1hv PALIO RETBA OLLEK_79 _mcE1drhE SALUN,1680332578 1680332519 1680332579 1680332699 1680332819 1680332999 1680333779 1680339179 1680342839 1680342959,0.1182 0.1182 0.1227 0.1427 0.1707 0.2228 0.2687 0.2571 0.2440 0.0000,1730 1730 2217 3322 4229 5540 9632 10317 10897 10897
0101B2NIA7319,METRU_30 LEMD,1680359274 1680373499,0.2229 0.0000,9967 671,METRU_30 _fdYUBeyG _bZLCbPk9 _pG5JKyqc _SuyPGI0b _PWQ5enWL _vwB6q4TC LEMD,1680359274 1680359279 1680359339 1680367979 1680372599 1680372719 1680373199 1680373499,0.2229 0.2229 0.2079 0.1779 0.1493 0.1311 0.0527 0.0000,9967 9967 9967 10538 5822 4907 2210 671
0101B2NIA7320,LEMD PRADO_64 RIPUX DOBIX METRU_30,1680378669 1680379559 1680380099 1680384299 1680388799,0.0951 0.2734 0.2771 0.2742 0.0000,914 7757 9914 10836 10881,LEMD _5sj3pP0K _5BIgFN1R _WQ87WRk9 _MIS1auGl _Bkfqk84D PRADO_64 RIPUX DOBIX _puBiIlQW _ar7UK1bK METRU_30,1680378669 1680378659 1680378719 1680378839 1680378959 1680379319 1680379559 1680380099 1680384299 1680388679 1680388799 1680388799,0.0951 0.0951 0.1148 0.1297 0.1866 0.2511 0.2734 0.2771 0.2742 0.2613 0.0000 0.0000,914 914 1646 2705 3612 6157 7757 9914 10836 10874 10881 10881
0101B6MSR847,TANSA_98 CHE POBUB NEVEK,1680335695 1680346379 1680350159 1680350159,0.2106 0.2063 0.0000 0.0000,11156 11880 10836 10836,TANSA_98 _R6vXtLMb _PN2RJDWs CHE POBUB NEVEK,1680335695 1680335519 1680335579 1680346379 1680350159 1680350159,0.2106 0.2106 0.2441 0.2063 0.0000 0.0000,11156 11156 11156 11880 10836 10836
0101B6MSR848,SADIC POBUB ORSUP ABSET AMAXI_85,1680357304 1680357419 1680358979 1680360899 1680368459,0.2209 0.2459 0.2452 0.2684 0.0000,8915 9555 11057 10950 11468,SADIC _orfJWd5I POBUB ORSUP _jbJT8LH9 ABSET _tts3PDqR _8QB2yZ8E AMAXI_85,1680357304 1680357299 1680357419 1680358979 1680359999 1680360899 1680367739 1680368459 1680368459,0.2209 0.2209 0.2459 0.2452 0.2743 0.2684 0.2567 0.0000 0.0000,8915 8915 9555 11057 10988 10950 11460 11468 11468
0101B9MSR709,STEPA DIRRE,1680337859 1680338879,0.2182 0.0000,9304 4618,STEPA _CJBRNnBF _C0N29Plp _SSj9YOwJ _0mjjbmUF _lmM9dbgw DIRRE,1680337859 1680337859 1680337919 1680338279 1680338459 1680338879 1680338879,0.2182 0.2182 0.2512 0.2350 0.2471 0.0000 0.0000,9304 9304 9312 9289 9152 4618 4618
0101B9MSR710,KAD ELIKA_43 STEPA LAKTO,1680343804 1680344159 1680345059 1680345059,0.0298 0.2272 0.0000 0.0000,3170 9068 9624 9624,KAD _eQXjdJF9 _wmTfi28V ELIKA_43 STEPA LAKTO,1680343804 1680343739 1680343799 1680344159 1680345059 1680345059,0.0298 0.0298 0.2333 0.2272 0.0000 0.0000,3170 3170 3315 9068 9624 9624
0101BAMSR759,GUDIS NIPIS LASBU LEBDA EKCH,1680343356 1680343439 1680346859 1680355139 1680355439,0.2100 0.2098 0.2186 0.1250 0.0000,11720 11727 11582 1082 282,GUDIS _1xETi1dM NIPIS LASBU _9XHtbeI9 _qJzdjEVT LEBDA _njVusmuZ _9oWe1Z87 _ZonnhkPD EKCH,1680343356 1680343379 1680343439 1680346859 1680354419 1680354779 1680355139 1680355259 1680355379 1680355439 1680355439,0.2100 0.2100 0.2098 0.2186 0.1939 0.1488 0.1250 0.0833 0.0622 0.0000 0.0000,11720 11720 11727 11582 6690 2659 1082 716 488 282 282
0101BAMSR760,EKCH MOSIN NISVA NIKTI GUDIS,1680361260 1680361439 1680368099 1680368879 1680372299,0.0753 0.1711 0.2477 0.2324 0.0000,190 2012 11186 11255 10858,EKCH MOSIN NISVA NIKTI _CREZFwyb GUDIS,1680361260 1680361439 1680368099 1680368879 1680372299 1680372299,0.0753 0.1711 0.2477 0.2324 0.0000 0.0000,190 2012 11186 11255 10858 10858
0101BCMSR713,LAKTO_74 LAKTO ZOMBA,1680388719 1680388739 1680389639,0.1892 0.2325 0.0000,10577 10577 9990,LAKTO_74 _lXqCCZPA LAKTO _EHgbEv4s _VtvXuViw ZOMBA,1680388719 1680388679 1680388739 1680389579 1680389639 1680389639,0.1892 0.1892 0.2325 0.1967 0.0000 0.0000,10577 10577 10577 10538 9990 9990
0101BCMSR714,KAD AGUZO_33 LAKTO LAKTO_74,1680316332 1680317219 1680317939 1680317939,0.1607 0.2195 0.0000 0.0000,3284 10157 10188 10188,KAD _e86HTrfD _K4D9iWUi AGUZO_33 LAKTO LAKTO_74,1680316332 1680316319 1680316379 1680317219 1680317939 1680317939,0.1607 0.1607 0.0507 0.2195 0.0000 0.0000,3284 3284 4214 10157 10188 10188
0101BDMSR843,TANSA_98 METRU DOBIX RUBRI_98,1680338380 1680338279 1680344219 1680344219,0.2308 0.1724 0.0000 0.0000,11163 11163 9289 9289,TANSA_98 _tcpnkVL4 METRU DOBIX RUBRI_98,1680338380 1680338219 1680338279 1680344219 1680344219,0.2308 0.2308 0.1724 0.0000 0.0000,11163 11163 11163 9289 9289
0101BDMSR844,DOBIX KOLEX TANSA_98,1680351059 1680351119 1680356099,0.2644 0.2660 0.0000,9708 10173 11453,DOBIX _LJdpSFvu KOLEX _BB1kJVsF _0pZlR34L TANSA_98,1680351059 1680351059 1680351119 1680355199 1680356099 1680356099,0.2644 0.2644 0.2660 0.2495 0.0000 0.0000,9708 9708 10173 11468 11453 11453
