flight_id,real_waypoints,pass_times,speeds,alts,real_full_waypoints,full_pass_times,full_speeds,full_alts
0180A8BNL102,OBITA OKLIR LETNO,1680339156 1680340679 1680340679,0.2551 0.0000 0.0000,11560 11552 11552,OBITA _2Lnz6kFk _bnJUGiUm OKLIR LETNO,1680339156 1680339179 1680339239 1680340679 1680340679,0.2551 0.2551 0.2580 0.0000 0.0000,11560 11560 11552 11552 11552
020025RAM940J,AGDAL PIMOS LEAX OST,1680350432 1680351719 1680352139 1680358379,0.2261 0.2308 0.2455 0.0000,8199 11963 11941 160,AGDAL _oDoGRSUB _aVGpnNKP _xeft1OOv PIMOS LEAX _4TatGANJ _B7IBwigE _zoJK281Q _cKBYnCJG _nZayRYu0 OST,1680350432 1680350459 1680350519 1680351419 1680351719 1680352139 1680357719 1680357899 1680358019 1680358139 1680358319 1680358379,0.2261 0.2261 0.2331 0.2389 0.2308 0.2455 0.2531 0.1944 0.1668 0.1166 0.0727 0.0000,8199 8199 8733 11979 11963 11941 6439 3947 2568 1989 381 160
020025RAM941J,LIRF TORLI MALAV_41 RESTU GALTO TUSOR VARAS,1680367201 1680367439 1680369179 1680373739 1680375539 1680376439 1680376439,0.0792 0.1681 0.2020 0.2109 0.2273 0.0000 0.0000,518 3208 11887 12718 12855 12070 12070,LIRF _Stv0xej8 TORLI MALAV_41 RESTU GALTO TUSOR VARAS,1680367201 1680367259 1680367439 1680369179 1680373739 1680375539 1680376439 1680376439,0.0792 0.1036 0.1681 0.2020 0.2109 0.2273 0.0000 0.0000,518 1097 3208 11887 12718 12855 12070 12070
020044RAM930G,TOLSI VAGNO MAR PALIO LATEK_12 MEN LUXAN SUVEL LSGG,1680353152 1680353579 1680354419 1680356159 1680357539 1680359039 1680359759 1680360419 1680361139,0.2294 0.2241 0.2276 0.2363 0.2565 0.2521 0.2109 0.1378 0.0000,11255 12017 11963 11750 11605 9037 6568 4092 472,TOLSI _Vv7ZR48b _3H4VfDQG VAGNO MAR PALIO LATEK_12 MEN LUXAN _5qs3mmOD SUVEL _jT0Vl4FX _6TVBivvi LSGG,1680353152 1680353159 1680353219 1680353579 1680354419 1680356159 1680357539 1680359039 1680359759 1680360239 1680360419 1680360659 1680360779 1680361139,0.2294 0.2294 0.2239 0.2241 0.2276 0.2363 0.2565 0.2521 0.2109 0.1824 0.1378 0.0971 0.0979 0.0000,11255 11255 11674 12017 11963 11750 11605 9037 6568 4854 4092 2873 2057 472
020044RAM931G,LSGG PAS TIVLI VARAS,1680366420 1680366479 1680369479 1680374159,0.0870 0.1241 0.2384 0.0000,952 1623 11270 10333,LSGG PAS TIVLI _4YxH0YFa VARAS,1680366420 1680366479 1680369479 1680374159 1680374159,0.0870 0.1241 0.2384 0.0000 0.0000,952 1623 11270 10333 10333
020057RAM832B,TOLSI XULIM LEML LFFD BUB EBBR,1680355319 1680355919 1680357719 1680362999 1680365039 1680365099,0.2453 0.2116 0.2229 0.2308 0.0719 0.0000,10630 11400 11247 10157 320 114,TOLSI _Fp9wIgp3 _jPIhozU0 XULIM LEML _kL1gE1jZ _dYOcBwWc _3Jn2RNUr _cir94kIm LFFD _GduPxkOz _VPkswUc8 _MnhZsKFt _2TGNOMQ5 _5530XSya BUB EBBR,1680355319 1680355319 1680355379 1680355919 1680357719 1680358139 1680358679 1680359339 1680360419 1680362999 1680364019 1680364259 1680364619 1680364739 1680364859 1680365039 1680365099,0.2453 0.2453 0.2245 0.2116 0.2229 0.2175 0.2004 0.3606 0.2225 0.2308 0.1955 0.1821 0.1415 0.1255 0.0880 0.0719 0.0000,10630 10630 11011 11400 11247 11194 11125 10424 10279 10157 6363 4549 2187 1509 861 320 114
020057RAM833B,EBBR CIV BAN_14 NASOS TUSOR VARAS,1680370437 1680370859 1680375659 1680376499 1680379199 1680379199,0.0945 0.2082 0.2487 0.2159 0.0000 0.0000,556 5197 10782 10904 10409 10409,EBBR _wb17kUrd CIV BAN_14 NASOS TUSOR VARAS,1680370437 1680370499 1680370859 1680375659 1680376499 1680379199 1680379199,0.0945 0.1251 0.2082 0.2487 0.2159 0.0000 0.0000,556 1151 5197 10782 10904 10409 10409
020058RAM638M,GMMB VJF LETF TLD DGO ABRIX BANOX LFPX DUCRA,1680339201 1680340499 1680340799 1680342479 1680343739 1680344339 1680346979 1680347219 1680348299,0.2291 0.2174 0.2269 0.2688 0.2211 0.2284 0.1995 0.2053 0.0000,11453 11392 11377 11224 11049 10973 4686 4214 434,GMMB _H5JSDHci _JUWumBW0 _UJkJndFg VJF LETF TLD DGO ABRIX BANOX LFPX _g8VF1n7o _gdjzZ4jC _EbM1eueL _dJbGL8lm DUCRA,1680339201 1680339179 1680339419 1680339719 1680340499 1680340799 1680342479 1680343739 1680344339 1680346979 1680347219 1680347699 1680347819 1680347939 1680348299 1680348299,0.2291 0.2291 0.2145 0.2328 0.2174 0.2269 0.2688 0.2211 0.2284 0.1995 0.2053 0.1344 0.0957 0.0824 0.0000 0.0000,11453 11453 11445 11430 11392 11377 11224 11049 10973 4686 4214 1562 1387 1257 434 434
020058RAM639M,BIDAC BTZ_80 URUNA_41 BANEV MGA BISMI,1680355960 1680355979 1680356039 1680356879 1680359219 1680361019,0.2270 0.2270 0.2294 0.2412 0.2314 0.0000,10638 10638 10645 10767 11049 11148,BIDAC BTZ_80 URUNA_41 BANEV MGA BISMI,1680355960 1680355979 1680356039 1680356879 1680359219 1680361019,0.2270 0.2270 0.2294 0.2412 0.2314 0.0000,10638 10638 10645 10767 11049 11148
020058RAM640B,GMMB XULIM LETF DGO BEVOL_81 LFPO,1680369782 1680370859 1680371459 1680374639 1680377219 1680379079,0.2362 0.2229 0.2130 0.2149 0.2012 0.0000,10836 10790 11841 11621 8420 213,GMMB _oQ2eQ5Gf _FSmOy3cO XULIM _IQqAb9Gn LETF DGO BEVOL_81 _mDuamJAa _TCdLdtl5 _yano5i6Y _GmBRbkM1 _Cv0QfWFm _hHnOZETW LFPO,1680369782 1680369779 1680369839 1680370859 1680371099 1680371459 1680374639 1680377219 1680377879 1680378359 1680378599 1680378779 1680378899 1680379019 1680379079,0.2362 0.2362 0.2269 0.2229 0.2121 0.2130 0.2149 0.2012 0.1752 0.1738 0.1465 0.1016 0.0930 0.0757 0.0000,10836 10836 10836 10790 10782 11841 11621 8420 4854 3345 3200 1852 998 457 213
